name
Ghanshyam Rohera
Babloo Seshadri
Karanveer Mehra
K. Subhash
Falah Faisal
Aadil Abedi
Sagar
Star:Yogesh Shirke
Mahesh Nair
Haresh Vyas
Srinivas Bhashyam
C. Raghuvir
Upasna Singh
Sachindra Sharma
Uma Maheshwari
Nidhie Sharma
Kanika Verma
Dishala
Surinder Suri
R.K. Rakhan
Sahil Anand
Ramesh Modi
Fahadh Faasil
Pavel Singh
Nitin Kumar Gupta
Noor Mohammad Charlie
Muazzam Beg
Hitesh Bharadwaj
Atanu Mukherjee
Uday Shankar
J.B.H. Wadia
Madan Jain
Shashanka Ghosh
Sahil Mehta
Pritma Manohar
Adil Amaan
Geetanjali Thapa
Sharad S. Kapoor
S.S. Balan
Preeti Chauhan
Amir Ali
Sahil Sunny
Rajan Priyadarshi
Arun Saluja
Simran
Sonam Chhabra
Aarti Puri
Rizwan Manji
Virag Mishra
Tina Joshi
Sonu Nigam
Ghananand
Tia Bajpai
Gaurav Garg
Mandeep Kaur
M. Bhagwandas
Raja Chaudhary
Sharda Cheulkar
Master Ramish Iman
Saira Banu
Aamreeta Gautam
Kanjibhai Rathod
Akshay Singh
Vithaldas Panchotia
Shailendra Pande
Premraaj
Karan Shah
Ravi Jadhav
Parambrata Chattopadhyay
Ansari
Star:Byom
Sachiko Chijimatsu
Bhargav
Rita S. Roy
Sorabh Chauhan
Kainat Ahmed
Kirti Azad
S.P. Balasubrahmanyam
Raj Rani
Nagendra Babu
Vandana Kataria
Imtiaz Ali
Samir Ahmed
Nausheen Ali Sardar
Baby Pinky
Neena Gupta
Amal Sherawat
Radhika
Sita Spada
Kamlesh Pravin Desai
Rashmi Verma
Omkar Kapoor
Sheikh Munasar
Asif Basra
Rana Gujral
Irfan Khan
Samir Khan
Vaarssh Bhatnagar
Aditi Arya
Rashmi Ranjan
C.V. Sridhar
Karan Anshuman
Naval Kishore
Tisca Chopra
Gaurav Chopra
Ram Kumar
Meiyang Chang
Srividya
Zarine Ali
Baboobhai Bhanji
Neha Sharma
Mayuri Kango
Suraiya
M. Mallikarjuna Rao
Vishal Bhatt
Meghan Jadhav
T.N. Balakrishna
Aamani
Aayush Thakur
Parineeta
Riteish Deshmukh
BuAli Shah
Kanchan Hundal
Prakash Mehra
Manohar Nath Rangroo
Deepak Gattani
Abdul Qayyoom Khan
Ganthimathi
Triptii
Kabir Sadanand
Sana Asiam
Preet Bhatti
Kishore Chougule
Ahmed Chaudhary
Manisha Mondal
Nemi Chandra Jha
Shalini Abhyankar
Areesz Ganddi
Shakti Kumar
Cho Ramaswamy
Avinash Raj Sharma
Mahendra
Star:Kashmera Shah
Gaurav Kapoor
Tahir Khan
Ravi Chopra
Abhay Mahajan
Suresh Bhagwat
Chandrachoor Rai
Navin Yagnik
Nitin Ganatra
Amit Vats
Dan Dhanoa
Star:Om Puri
Shailesh Verma
Amulakh Desai
Alaya F
Sushma Bakshi
Manoj Shidheshwari Tiwari
R.S. Chopra
Naheed Jamal
Dishank Arora
Abhishek Khanna
Archana Gautam
Nabam Tata
Vyjayanti Chavan
Rutika Singh
Sanket Chauhan
Aziz Khan
R. Thyagaraajan
Anita
Sunil Saigal
S.S. Raja
Mousumi Biswas
Shashi Bhushan
Robin Sohi
Anil Gawas
Ajit Singh Arora
Pranavanand
Nupur Jhanwar
Anu Menon
Shanti Priya
Ashwini Ahuja
Madhu Roy
Ravindra Berde
Ponnambalam
Zayn Marie Khan
Saumya Daan
Neha Lakshmi Iyer
Raaj Rahhi
Bhupinder Singh
Taran Bajaj
Sachin Chaudhary
Ansh Gupta
Ramesh Saigal
Mazahir Rahim
Ram Daryani
Mamata
Vibhu Puri
Ahmareen Anjum
Swaroop Kumar
Sharvil Bhawsar
Pranitha
Mayank Prakash Srivastava
Zaigham Imam
Shoib Khan
Mohan Kavia
Shonali Bose
Pahadi Sanyal
Lalitha
Tarun R. Takshy
Pankaj Kesari
Deepika Chauhan
Sahaj Bhadoria
Bishnu Dev Halder
Sukumari
Hercules
Anup Thapa
Rajkumar Bhan
Anupama Prakash
Syed Firdaus
Shakti Arora
Khayali Saharan
Leonard Leo
Chandan Gill
Chuck Russell
Raghu
Mohit Sehgal
Jagdish Nirula
Sai Ram Shankar
Lalit Kohli
Ramanlal Desai
Ravi Davala
Star:Veena Malik
Elissa Brentano
Swati Kapoor
Seetha
Kavita Khanna
Bela Segal
Badrish Chhabra
Musa Ahmet
Amrita Chattopadhyay
Karan Singh Grover
Jaya Rekha
Lekha Washington
Johnny Baweja
Leeza Mangaldas
Ishrat Ali
Mohit Gandhi
Babli
Athiya Shetty
Chandra Sekhar Yeleti
Tarun Dudeja
Ripu Daman Yadav
B.M. Vyas
Anurag Sharma
Ramkishan Choyal
Satyendra Gupta
Musskan Sethi
Charuhas Shidore
Nakhul
Faizal Khan
Ajay Bafna
Sonakshi Sinha
Mahimaa
Ali Asgar
Manoj Bhatnagar
Kanhaiya
Rinzing Denzongpa
Suhaib Ilyasi
Rima Das
Sahil Gandhi
Parveen Babi
Anoushka
Dhananjay Chauhan
Girish Trivedi
Suhas Ruke
Naini Dave
Govardhan Asrani
Neha Dubey
Pradeep Singh
Kabeer Rauthar
Raju Kafley
Abdul Sattar
Razak Khan
Sunil Rege
Tota Roy Chowdhury
Shankar Addi Mehra
Vishesh Bansal
Ameya Pandya
Sonia Birje
Baby Bhate
Atul Sharma
Rajesh Deshmukh
Gurudas Bannerjee
Shekhar Bhosle
Rahul Jaiswal
Ali Abbas
Vaibhav Raj Gupta
Sharad Kumar
Himesh Choudhary
Pragathi Yadhati
Anjali Sharma
Monika Ravan
Kiran Das
Kedar Kapoor
Chery Shety
Shahid Bijnori
Atul Chitra
Zenobia Shroff
Azar
Rajnel Prasad
Mohith Kumar
Shantakumari
Deepika Padukone
Murari Sharma
Raj N. Sippy
Micky Shetty
Meenu Hooda
Sarita Joshi
Ekta Sohini
Suhel Seth
Seema Parihar
Furqan Merchant
Gayatri
Vishal Agarwala
Shitul Gaud
Dinshaw Bilimoria
Ahalya
Gopi Katwal
Arun Dutt
Shaikh Sami
Ritika Anand
Santosh
Mohammad Samad
Star:Nitra Shomy
Mohammed Mansoor
Ragu
Yana Gupta
Ravi Chakkravarthy
Aashish Kaul
Raveendran
Prarjun Majumder
Mukesh Chhabra
Reshmi Ghosh
Satrajit Sarkar
Hemant Kamal
Kuleen Chopra
Shashi Shekhar
Babu Antony
Irfan Kamal
Ismail Inamdar
Prabhakar
Deepak Sampat
Raam Shetty
Sumana Mukherjee
Aditya Srivastav
Star:Gajendra
Rajsekhar Aningi
Sanjay Kumar
Soma Salkar
Sameer Hanchate
P.C. Barua
Adeetya Gour
Jahnavi Dhanrajgir
Shamita Ghosh
Yûgô Sakô
Yogapriya
Kamal Malik
Annuradha Bannerjee
Hemangi Kaj
Anant Galvi
Hemwant Tiwari
Sylvia Miles
Mohit Arora
Ujjwal Chatterjee
Fahim Irshad
Satya Prakash Choudhary
Arjun Mathur
Hina Tasleem
Dhruv Sachdev
Ashish Joshi
Kishore Bhatt
Vikas Verma
Abdul Mohsin Kidwai
Amjad Qureshi
Amrit Raj Thakur
Pryas Gupta
Zakir Husain
Charles Ross
Himarsha Venkatsamy
Subaru Kimura
K. Asif
Zeb Qureshi
Anuj Kumar Roy
Gaana Bhat
Sagar Masrani
Sandhya Mridul
Mehreen Pirzada
K. Viswanath
Ramu Kariat
Leela Naidu
Hemant Madhukar
Nigaar Khan
Shashank Vyas
Bhupendra Jadawat
Shankar Mondal
Gunj
Sudeep
R.K. Selvamani
Nizhalgal Ravi
Tony Juneja
Sidharth Malhotra
Anmol Goswami
Kavya
Usman Rao
Santosh Sivan
Madhu Kapoor
Rahul Kapoor
Aslam Azmi
Amisha Sinha
Nandini Singh
Reema Vohra
Arya Babbar
Sapna Sarang
Vekeana Dhillon
Kamal Chandra
Jagathi Sreekumar
Jayasudha
Vijay Kumar
Palvi Jaswal
Datta Dharmadhikari
Munawar Sultana
Deepika Amin
Dipak Roy
Rohit Philip
Master Antriksh
Prem Mishra
Mannara Chopra
Anil Wasia
Mahesh Kawal
Mandakini Goswami
Arindam Chaudhuri
Moon Gupta
Manisha Kelkar
Shubham Kumar Singh
Aakkoo
Isha Koppikar
Sulakshana Pandit
Sonu Chourasia
Raashi Khanna
Alok Rajwade
M.I. Dharamsey
Pinel Babu
Aishwarya Sen
Prem Kumar
Star:Master Bhagwan
Jackky Bhagnani
Nandish Singh Sandhu
Usha Uthup
Indervesh Yogee
Junior Jagdeep
Sowmya Bollapragada
Justin John
Alaudeen
Vijay Ishwarlal Pawar
Jeeva
Narendra
Vishwa Bhanu
Ritesh Raghuvanshi
Ankita Lokhande
Sanjay Puran Singh Chauhan
Surekha Kudachi
Sunil Das
P.S. Wagle
Hiren Nag
Shikha Singh
Anupam Maanav
Dewashish Ghosh
Kanza Feris
Keshavrao Dhaiber
Star:Vatsal Dubey
Shubhankar Ekbote
Anisa Butt
Zaheer D. Lari
Nelson Liao Sheng Hua
Ravi Bhushan
Daebuu Banerjee
Prateek Chakravorty
Indravadan Tridevi
Devashish Makhija
Jessica Chauhan
Siraj Khan
Shashank Chaturvedi
Partho Sen-Gupta
Khalid Sami
Rajat Kapoor
Padam Kumar
Akiko Yajima
Nischay Mehta
Errol Marks
I.S. Johar
Abhishek Chitlangia
Yusuf Surti
Ss Vasan
Kusum Narayan
Mohan Azaad
Salman Khan
Vijay Ashok Sharma
Nishan
Lauren Gottlieb
Chetan Sharma
Ashima Bhalla
Atul Parchure
Roni Bhatt
Kamala Chatterjee
Shubh Joshi
Nisha
Star:Anil Rai Mani
Ishita Arun
Heera Sawant
Rajashekhar
Bindu Desai
Monica Patel
Tahira Kashyap
Kaustubh Bhopatrao
Uma Khosla
Sandeep Jain
Gopi Desai
Vinod Kulkarni
Jenifa Chan
Awdhesh Mishra
Prashamit Chaudhury
Indrajit Singh
Kamal Sharma
Tejasvi Singh Ahlawat
Rohin Raveendran
Birendra Nath Tiwari
Nidhi Sunil
Satish Duggal
Lars Kjeldsen
Farrukh Jaffar
Shome Makhija
Sonam Nair
Imran Ali
Asma
Rohit Pathak
Sunny Moza
Anees Khatoon
Ankita
Rabindra Dharmaraj
Bhagirathi Swain
Rajni Sharma
Jagdish Raj
Deepak Dutta
Indraneel
Shriya Pilgaonkar
Arjun Kapoor
Shruti Marathe
Sudarshan Juyal
Mumtaz Begum
Nidhi Mahawan
Amitabh Acharya
Sabita Devi
Kunal Kohli
Sumeet Kaul
Anil George
Subodh Govil
Vikas Bangar
Kashvi Kanchan
Lalita Kumari
Taapsee Pannu
Kunika Sadanand
Ronak Bhatia
Collin D'Cunha
Shirin Parveen Khan
Deeshak Patra
Daniel Kaleb
Aditi Roy
Bront Palarae
Aditya Pancholi
D. Rama Naidu
Raviraa Bharadwaj
Sharad Raj
Siobhan Johnson
Manoj Joshi
Piyush Dinker Pandya
Vijay Kadam
Rajat Bakshi
Naved Aslam
Omi Vaidya
Manisha Purohit
Sai Ballal
Jaswant Jhaveri
Rajesh Sabharwal
Evelyn Sharma
Anusha Dhandekar
Tsutomu Shibayama
Girish Juneja
Ved Thappar
Ravikant Singh
Hashmat Khan
Glen Francis
Amit Shree Yadav
Jayshree Arora
Baisul Islam Asad
Master Vithal
Divya Bharti
Ayesha Shroff
Boken Chatto
Sunita Verma
Star:Shakeela
Bhumika
Ritesh Batra
Benjamin Yangal
Ruma Guha Thakurta
Vartika Tiwari
Siddharth Jichkar
Anya Singh
Deepti Bhatnagar
Rehana
Pankaj Gupta
Lakshmi R. Iyer
Yudhveer Bakoliya
Ajitabh
Vijay Pande
Hemant Mishra
Deepak Bahry
Mangal Chakravarty
Sikender Khan
Vicky Khan
Kaajal Kiran
Ananda Karekar
Yogendra Tikku
Kumkum
Ritwik Bhowmik
Aahana Kumra
Anant Joshi
Gunveen Kaur
Fearless Nadia
Myra Karn
Bajrangbali Singh
Bijal Batavia
Shekhar Kapur
Prashant Chadha
Manmohan
S.M. Ibrahim
Mannan A. Gada
Tariq Bhat
Vatsala Deshmukh
Pankaj Batra
Santosh Sawant
Y.N. Joshi
Eknath Kamble
Aanchal Dwivedi
Jeevan Dhar
Archanna Guptaa
Nimmi
Yifeng Li
Ishraq Shah
Kamal Chopra
Jyoti Singh
Bikramjeet Bhullar
Abhay Anand Singh
Rayya Labib
Ehsaan Qureshi
Manjusha Godse
Ratna Bhooshan
Ram Naresh Diwakar
Sukanya
Bipin Gupta
Sachin Kundalkar
Nalneesh Neel
Sammy Bhardwaj
Akbar Quadri
B.L. Chopra
Nawaz
Anwar Khan
Chandrakala
Ramesh Deo
Sulochana Chatterjee
Vinay Pandey
Reena Ghosh
Kamaal Khan
Kharaj Mukherjee
Agast Anand
Mayra Awasthi
K.R. Vijaya
Kuldeep Bakshi
Amit Bansal
Kr Shipley
Mohsin Bhat
Danny Huston
Bn Rao
Molina
Kaveri
Rikhil Bahadur
Ravi
Satyendra Kapoor
Kuljit Pal
Ruchi Kadam
Hansa Wadkar
Sapna Sappu
Varadraj Swami
Chirag Vohra
Ashwin Shetty
Shivam Bhaargava
Chandraprabha
S. Sukhdev
B.N. Chowhan
Sushil
Vinod Kapri
Yami Gautam
Shanti Dave
Srinath
Sahabzadi
I.A. Hafizji
Amla Chaturvedi
Jhanvi Desai
Priti Gill
Alexx O'Nell
Venu Madhav
Rajshree Thakur
Ajay Gatlewar
Rucha Inamdar
Bob Christo
Aftab Shivdasani
Kalpana Mathur
Vijya Laxmi
Yasef Calderón
Raaghavv Chanana
Mudasir Zafar
Mahaveer Shringi
Ejaz Ahmed
Nirbhay Chaudhary
Rajesh Panday
Phoolan Devi
Shernaz Patel
Avinash Arun
Anjali Arora
Moumita Jaise
Devan
Om Raut
Rohan Gujar
Kantilal Rathod
Arun Jaitley
Krishna Katiyar
S. Karnam
Sunny Kapoor
Jeffrey Ho
Kharabela Mohapatra
Salima Raza
Krutika Deo
Deepak
Hansa Maker
Randhir
Jassie Gill
Kingi
Anil Bhardwaj
Laxmi Aishwarya
Sonali Pandey
Amy Jackson
John Mathew Matthan
Nishant Dahiya
Raghuraj
Aarti Gupta
Chirag Saluja
Scherrikar Bell
Vidya Sinha
Sunil Prem Vyas
Priya Mitra
Sanskriti Bhatt
Sushil Bhosale
Ajeet Ghorpade
Chetan Anand
Venita Anand
Ashish Bisht
Vaishali Desai
Harish Vyas
Keki Adajania
Syed Jari Ali
Mallika Prasad
Jeevan Kala
Navdip Singh
Jyoti Subhash
Raj Madiraju
Kulbir Badesron
Robin Chourasia
K. Hariharan
Gaurav Chanana
Anand Mishra
Jatin Kanakia
Hrishikesh Mukherjee
Manikant Momaya
Lynsey Pow
Gohar
Manish Jha
Col. Kapoor
Sherman Doshi
Jaya Mathur
Neville Shah
Nitin Tiwari
Rashmi
Vivek Shauq
Manoj Bajpayee
Riya Sen
Rahuul Chwudhary
Sheetal Kale
Anuradha Patel
Shweta Khanduri
Ravinder Singh
Suyesha Dutta
Leilaa Lulla
Anupam Sinha
Star:Vivek Oberoi
Poornam Vishwanathan
Natasha Jain
Bhargavaram
Karishma Gupte
Gopi Krishna
Raj Aryan
Madhumani
Natasha Majhi
Shashi Chawla
Nigar Sultana
Yash Dave
Dinesh-Ramanesh
Ankit Rathi
Ravi Dehru
Sanjay Mishra
Malavikka
Roopesh Kumar
Dhirubhai Desai
Nikkita Butola
Nikhilesh
Star:Vishal Om Prakash
Suzanna Mukherjee
Sikandar Kharbanda
Roberto D'Antona
Simon Charan
Shishir Jha
Anil Soni
Suvendu Ghosh
Ashna
Dipak Harne
Shridhara Maharan
Agha Jani Kashmiri
Lalit Behl
Chetan Dhanani
Shubham Somu Srivastava
Hrithik Insan
Nilay Dave
Manher Desai
Edward Sonnenblick
Shivendra Sinha
Anto Boghokian
Vibhore Mayank
Anissa Poddar
Swapna Joshi
Arpa Khan
Ankita Sahu
Shobha Sharma Jassi
Mobeen Warsi
K.S. Gopalakrishnan
Lisa Haydon
Rajesh Chowdhury
Acchui
Vinny Pal
Mehul Atha
Nikhil Yadav
Varma Akhilesh
Haranath
S.P. Nimbawat
Rajendra Kaur
Bharat Arora
Swapna
Prachi Save
K. Narayan Kale
Manmohan Sabir
Vimal Chandra Pandey
Abhishek Brahmachari
S.V. Krishna Reddy
Yogesh
Nina Borah
Anuj Pandey
R. Somasundram
Mohinder Bagga
Kanishka Kapoor
Rajendra Gupta
Neeraj Kabi
Rashmi Chauhan
Shantanu Anant Tambe
Megha Sharma
Khushbu Jani
Somy Ali
Anup Jalota
Jayant Gilatar
Saathi Ganguly
Chitra
V.H. Desai
Vichithra
Ashok Barot
Sujata Mishra
Reeya Doi
Rohit Mittal
Rambha
Rajiv Babbar
Riya Sharma
Zulfi Sayed
R. Sundarajan
Paras Saluja
Piyush Pande
Sanjeev Pandey
Sasha Goradia
Khalid Mohamed
Prayag Raj
Roshan Mathew
Ashish Verma
Natasha Datt
Dhansuraj
Prakash Kapoor
Sanjeev Reddy
Anurag Basu
Vinayan
Varun Buddhadev
Hima Singh
Sunil Kumar Desai
Nagraj Manjule
Akhlish
Sudhir Pednekar
Vinod Pandey
Mrityunjay Devvrat
Rani Padmini
Ritabhari Chakraborty
Shriram
Shipra Kasana
Suman Maitra
Neeta Tiwari
Umesh Gautam
Star:Lakshmi
Yunhe Yi
Tanmay Dhanania
Roshni
Bibhuti Mitra
Shubzz
Bobby Bedi
Mann Bagga
Raj Gupta
Svetlana Mishra
Gope Kamlani
Sourav Bairagi
Ravindra Suryavanshi
Rakesh Bhavsar
Lokesh Tilakdhari
Cru Jones
Manmeet Singh Sawhney
Thomas Tevana
Uttara Baokar
Shail Chaturvedi
Mumtaz Ahmed
Arun Verma Khator
Rocky Singh
Saeeda Imtiaz
S. Waris Ali
Maneej Premnath
Aliza
Pranay Ranjan
Paran Banerjee
Rashee Bindal
Sanjay
Amrita Arora
Sanath Menon
Rakesh Ranjan Kumar
Serena Walia
Poonam Balan
Jagrat Desai
Tanushri Basak
Jay Devi
Sudheer
Lalit Marathe
Vaibhav Jhalani
Bhupindder Bhoopii
Vishal Raj
Sanjay Singh Negi
Mukesh Duggal
Liliput Farooqui
Bhaboos
Shyam Ramsay
Akanksha Kadam
Nitin Jadhav
Dulari
Vasanth
Sriram Raghavan
Vijay Talwar
Bihari
Sahil Mishra
Vickrant Mahajan
Siddharth Kumar Tewary
Raja Sandow P.K.
P.L. Santoshi
Aushima Sawhney
Prabhu
Swati Vajpayee
Dhruv Ganesh
Jitendra Singh Naruka
Chimanlal Luhar
Aastha Gautam
Amit Khanna
Radhika Sarathkumar
Arun Khopkar
Ajit Pal Mangat
Mohammad Asif
Shabnam Raza
Padma Damodaran
Simer Motiani
Heramb Tripathi
Daman Maan
K.P. Singh
Ravi Kale
Amarjeet
Kimti Anand
Neeta Dhungana
Shadab Kamal
Dhirendra Gupta
Imran Khan
Nand Kishore
Greg de Sousa
Arun Verma
Sanjay Gadhvi
Dinkar Rao
Girish Aparnathi
Ravindra Singh Rajawat
Baba Sehgal
Palak Singh
Nitika Sharma
Yash Agarwal
Rohit Dhawan
Jasraj
Ravi Khote
Star:Ajit Khan
Devesh Pratap Singh
Devi Prasad
Armaan Shahabi
Kishore Vyas
Sophia Singh
Shaad Randhawa
Simran Sehmi
Mayur Mahendra Patole
Sandhya Mehra
Sheela Sharma
Chotu Bihari
Nidhi Singh
Anand Gandhi
Pimpi Tachang
Megha Akash
Neha Mahajan
Gajendra Shanker Shrotriya
Angel
Haider Khan
Pratiksha Patel
Aditya Ranvijay
Mel Datta
Naeem Sha
Manish Paul
Laila
Kuldeep Patil
Suresh Chatwal
Prabha Thakur
Zameer Kamble
Ajay Azad Singh
Narottam Bain
Rani Agarwal
V.N. Aditya
Peter Hansen
Nandu Madhav
Keshavrao
Ujjwal Singh
Ranjeeta Kaur
Sharad Shabal
Devansh Srivastava
Zuber K. Khan
Lateef Binny
Zahid Mir
Dilip
Pranutan Bahl
Ramanna T.R.
Baby Aastha
Aditi Vasudev
R. Thakur
Jatin Khurana
Diana Khan
Raj Singh Arora
Monuj Borkotoky
Nilu Phule
Rhys ap William
Sanjana Bhatt
M.A. Thirumugham
Baburaje
Deepak Nair
H.K. Shivdasani
Vikrant Anand
Nora Fatehi
Nitin Dixit
Soundarya Rajinikanth Vishagan
Sonarika Bhadoria
Kunal Deshmukh
Kanan Kaushal
Shashi Pal
Mouli Ganguly
Ketan Desai
Vipul Amrutlal Shah
Mahesh Gupta
Charmme Kaur
Azghar
Rishi Kapoor
Batul Mukhtiar
Mohini Sharma
Gautam Sarin
Devansh Doshi
Naresh Saigal
Honey Romey
Gurmmeet Singh
Vijay Saxena
Kumud Bole
Chandru
Subhash Sehgal
Kajri
Chi Gurudutt
Prameela
Rupa Bhimani
Dil Kumari Shrestha
Meera Mishra
Vidhi Chitalia
Nikita Soni
Aaryansh Arora
Abrar
Dinesh Rajpurohit
K.B. Athavale
Madan Puri
B.M. Shah
Dinesh Lamba
Awani Agrawal
Anindita Chatterjee
Master Altaf
Ashok Kumar
K.K. Singh
Manoj Sharmaa
A.S. Ravindra Babu
Shirish Soni
Satinder Gupta
Smita Singh
Vineet Raina
Vijay Lalwani
Shiraz Hussain
James John
Priyanka Sonawane Hedau
Dk Lepcha
Svar Kamble
Kireet Khurana
Neeru
Ajay Bahl
Aman Sandhu
Shuchi Arora
Bauddhayan Mukherji
Biplab Roy Chowdhury
Nakul Vaid
Dinesh Chaudhary
Vinay Katore
Syed Mehfooz Mian
Kuwaarjeet Chopraa
RooheMeet Insan
Rajesh Ganguly
A. Shamsheer
Swaroop Sampat
Padam Bhola
Sheeba Chaddha
Sayyeshaa Saigal
Suresh Krishna
Xu Chao
Anil Gajraj
Saleem Christopher Agha
Mannat Singh
Shivarajkumar
Archana Kotwal
Jagannathan Krishnan
Rajesh Tiwari
Reena
Star:Rajesh Jolly
Mehul Bhojak
Sundar C.
Sanya Malhotra
Prem Adib
Frédéric Andrau
Arjun Sajnani
Malhotra P. Siddharth
Ram Mukherjee
Subhash Gupta
Shobhalata
Viplab Majumder
Nidhi Mahila
Saurrabh Agnihotri
Michelle Shah
Sammy Durrani
Kradhikka
Meenakshi Vinay Rai
Monika Misra
Vibhu Kaushik
Neelu Hasan
Kanwalpreet Singh
Manish Anand
Sonu Jha
Mahender Singh Bist
Shakuntala Barua
Mukkamala
Preeti Mehra
Amrityan
Sagar Pandey
Samarth Kumar
Vipinno
Vedant Bali
Singh Surendra
Himmat Shekhawat
Star:Venugopal Shetty
Ugyen Chhopel
Himalay Dasani
Baby Sonu
Alok Shrivastav
Shelley Homick
Coral Bhamra
Satyadeep Misra
Radha Bhatt
Star:Tisca Chopra
Jayant Kripalani
Ranjith Oraon
Rudraraju Suresh Varma
Nikki Mehndi
Zohra Sehgal
Sonam Mishra
Baharul Islam
Prabhas
Zareen Khan
Anjanikumar Tripathi
Manish
Nivatheya
Khalid Y. Batliwalla
Manish Bhavan
Chinmay Shrivastava
Shivangi Rathour
Aishwarya Rajesh
Meghna Malik
Tarun Arora
Ehsan Khan
Amit Kapoor
Kavya Kashyap
Aamir Dalvi
Karan Battan
Rohan Grover
Shakuntulaa Singh
Rituparna Sengupta
Rakhi Anand Agarwal
Muzamil Ibrahim
Raj Chokani
Ashok Beniwal
Negar Khan
Poonam Shetty
Hena
Chand Burke
Saurabbh Roy
Chirag Malhotra
Anwar Pasha
Rahul Pathak
Sonamoni Jayant Gadekar
Sagar Pathak
Himanshu Gulati
Shinjan Neogi
Humayoon Shams Khan
Jaiveer
Jinia Pande
Gurdip Singh
Imtiaz Khan
Madhavan
Kavya Madhavan
Pathak Ashutosh
Vishwamitter Adil
Bharathi
Kishori Ambiye
Talat Mahmood
Saurabh Choudhary
Rahim Bhai
Vidyashree
Jintender Agarwal
Prithvi Sankhala
Nitin Kakkar
Jitendra Pawar
Aditya Bisht
Star:Azaad Irani
Nisha Aaliya
Rubina
Pooja Banerjee
Satish Kaul
Indumati
Rinku Jaiswal
Robin Khosla
Simone Singh
Zeba Bakhtiar
Samiksha Bhatnagar
Govind Menon
Madhu Bhagat
Rakul Preet Singh
Jogi Mallang
Kanhu Bandhopodhyay
Ektara Collective
Rina Chinen
Sameera Reddy
Amar Jaiswal
M.V. Raman
Abu Bakar
Madhu Kambikar
Anwar Fatehan
Nutan Jayant
Elidh MacQueen
Pradeep Chandra
Fardeen Khan
Amit Behl
Rahul Rai Gupta
Pramila
Mayur Kumar
Shahib Chopra
Vasant Painter
Mangal Anand
Ravi Raja
Dharamveer Singh
Dinesh D. Awasthi
Sajjan
Bhagyashree Patwardhan
Chaitanya Solankar
Rajat Rakshit
Shahid Ahmed
Ratheesh
Alekh Sangal
Sapan Saran
Rahul Aggarwal
Star:Amitabh Bachchan
Riva Arora
Raaj Shaandilyaa
Ruby Bharaj
Ratu Rakuita Tawake
Priyanshu Solanki
Liu Jing
Chittor V. Nagaiah
Kirti Reddy
Dimple Chauhan
Manohar Singh
Alisha Baig
Neha Seth Ray
Mohini Gupta
Sanchi Rai
Mahesh Dattani
Kiertan Chauhan
Ahmed Siddiqui
Roop K. Shorey
Satish Vyas
Nirmala Devi
Rameet Sandhu
Raj Ghatak
Vishal
Agha
Alaknanda
Sareh Far
Kalairani
Anubha Gupta
Rahil Khan
Yijuan Li
Jaya Goswami
Ms. Jordiya Anna
Amit Kumar Bhagat
Lata Arora
Kirti Ambedkar
Vinod Parmar
K.B. Tilak
Mohan Kapur
Erica Fernandes
Rachna Goel
Cleo Isaacs
Virendra Kumar Nathenial
Surojit
Naresh Khanna
Raaja Thakur
Gagan Puri
Sudarshan K. Rattan
Shivani Sharma
Amal Farooque
Khan Ishtiaq
Suresh Verma
Vibhas Joshi
Rajeev Kumar
Sachin
Sathish Ranjan
Shabana Afreen
Sai Kiran
Sushma Seth
Sareesh Sudhakaran
Radhu Karmakar
Vivek Jha
Satpal
Dilip Arya
Bela Negi
Michael Chinappa
Sandin Vishnu
Amitava Bhattacharya
Mawra Hocane
Neeraj Pathak
Vijay Bhatt
Vaibhav Bhatt
Rashmi Somvanshi
Ghanshyam
Neeraj Kashyap
Mahesh Gahalot
Sharada
Saif Ali Khan
Asmita Joglekar
Mushtaq Merchant
Vikramjit Singh
Damini
Rohan Sippy
Garrick Chaudhary
Rajesh Behl
Aloka
Satish Bhakri
Monorama
Mehroo Bai
Monalisa
Ravi Sinha
Jay Solanki
Ram Dayal
Ajay Bhuyan
Vishnupant Govind Damle
Satish Raj Kasireddi
Shafeeq
Vipin Bhardwaj
Vishal Inamdar
Anamika Singh
Aditya
Abhinav Shiv Tiwari
Sanaya Irani
Amit Deshpande
Guddu Jaffrey
Aarun Nagar
D. Santosh
Partho Ghosh
Saabir
Gogi Khanna
Deven Verma
Arya Dave
Hydershah
Reginald Jackson
Ismail Darbar
Vijayata Pandit
Meenu Bhardwaj
Neelam Mehra
Arjun Bijlani
Texas Gaikwad
Bhushan Agarwal
Shreekant
Vaibhav Gattani
Charanpreet Insan
Shifu Chaudhary
Saad Khan
Rajatesh Nayyar
Varun Middha
Vivek Madan
Apurva Asrani
C.L. Bansal
Saugat Bhattacharya
Yunus
Rajas Paranjpe
Jhataleka Malhotra
Naseeruddin Shah
Agradoot
H.M. Mirza
Prakash Verma
Maya Alagh
Vibha Chhibber
Majeed Khan
Rashmi Gautam
Hritu
Suzana Rodrigues
Jharana Bajracharya
Ratnamala
Satwinder Bains
Sanaj Naval
R. Sharma
Chandrabhushan Jha
Jitendra Barsiwal
Shubhashish Bhutiani
Ayush Tandon
N.S. Vaidya
Neelay Mehendale
Prem Prakash Modi
Rajkumar R. Pandey
Jyotin Dave
Pooja Bhatt
Gulnar
Bindu Kamat
Neeraj Sahay
Kumud Chaudhary
Jiiva
